date,Argentina,Bolivia,Chile,Colombia,Ecuador,Mexico,Paraguay,Peru,Uruguay,Venezuela
2019-05-01,28.78117256,18.90259779,27.59055557,21.85065779,17.7388458,24.74896481,11.2899059,36.47593653,15.92373775,10.61553917
2019-06-01,26.40800567,19.38112569,26.88531093,22.01540092,16.26632831,24.24832712,10.49372123,34.00676799,14.12313167,10.075157
2019-07-01,27.66522286,19.43762306,29.46519925,23.16259896,18.38725331,24.25809892,10.31702348,37.79524133,15.50290434,9.37863939
2019-08-01,31.11982642,19.41462102,29.62965294,23.04602818,16.86057048,24.79172822,8.996025403,36.73031449,15.70723944,11.71999749
2019-09-01,30.39826063,20.39812808,28.73949715,22.58842563,17.2043699,26.37797649,10.60433898,37.46122543,17.53082955,11.82730351
2019-10-01,30.83730702,17.74891767,29.36241942,22.78029765,21.46339253,24.67854299,10.11265384,36.72240727,20.69027552,11.53565093
2019-11-01,25.21803816,18.50020974,32.93512991,19.71344866,16.84760739,22.67944343,10.42838553,36.56212641,16.21702405,11.10902393
2019-12-01,30.19337484,19.14707103,33.26912346,21.80337729,16.34092689,22.47470844,11.91416155,35.31466423,16.23790613,10.31089206
2020-01-01,28.9570908,22.73646167,31.6257146,21.92009693,19.34954332,29.1175656,11.95603219,34.60520284,18.7506127,12.30892673
2020-02-01,23.57869835,16.91693847,30.29621311,21.5398882,16.22863463,25.3112942,9.598350596,33.56987217,17.2873232,11.70597786
2020-03-01,32.31243353,16.96972427,30.36436694,22.39878587,16.30452066,25.45051397,11.15184078,29.15987735,23.70586225,10.08465614
2020-04-01,30.03913134,12.8653639,29.48661094,21.65679135,12.85975498,25.83566657,12.89310123,26.02823,17.86656616,11.8303448
2020-05-01,27.55148727,14.69828084,22.20147245,23.69784094,13.00811789,30.02563123,14.49640134,27.96625673,16.25109359,13.33674451
